event_id,timestamp,account_id,amount,currency,event_type,reference
1,1,U1,1.0,LOG,AUTH_SUCCESS,C1
2,1,U1,1.0,LOG,AUTH_SUCCESS,C2
3,2,U2,1.0,LOG,AUTH_SUCCESS,C3
4,3,U3,1.0,LOG,AUTH_SUCCESS,C4
5,6,U4,1.0,LOG,AUTH_SUCCESS,C5
6,7,U4,1.0,LOG,AUTH_SUCCESS,C5
7,7,U5,1.0,LOG,AUTH_SUCCESS,C6
8,8,U6,1.0,LOG,AUTH_SUCCESS,C7
9,11,U7,1.0,LOG,AUTH_SUCCESS,C8
10,12,U8,1.0,LOG,AUTH_SUCCESS,C9
11,12,U9,1.0,LOG,AUTH_SUCCESS,C10
12,13,U10,1.0,LOG,AUTH_SUCCESS,C11
13,13,U11,1.0,LOG,AUTH_SUCCESS,C12
14,13,U12,1.0,LOG,AUTH_SUCCESS,C13
15,14,U13,1.0,LOG,AUTH_SUCCESS,C14
16,15,U14,1.0,LOG,AUTH_SUCCESS,C15
17,16,U15,1.0,LOG,AUTH_SUCCESS,C16
18,18,U16,1.0,LOG,AUTH_SUCCESS,C17
19,20,U17,1.0,LOG,AUTH_SUCCESS,C18
20,21,U18,1.0,LOG,AUTH_SUCCESS,C19
21,21,U19,1.0,LOG,AUTH_SUCCESS,C20
22,21,U20,1.0,LOG,AUTH_SUCCESS,C21
23,22,U18,1.0,LOG,AUTH_SUCCESS,C19
24,22,U21,1.0,LOG,AUTH_SUCCESS,C22
25,22,U22,1.0,LOG,AUTH_SUCCESS,C23
26,22,U23,1.0,LOG,AUTH_SUCCESS,C24
27,23,U24,1.0,LOG,AUTH_SUCCESS,C25
28,23,U25,1.0,LOG,AUTH_SUCCESS,C26
29,24,U26,1.0,LOG,AUTH_SUCCESS,C27
30,24,U27,1.0,LOG,AUTH_SUCCESS,C28
31,24,U28,1.0,LOG,AUTH_SUCCESS,C29
32,24,U29,1.0,LOG,AUTH_SUCCESS,C30
33,25,U26,1.0,LOG,AUTH_SUCCESS,C27
34,25,U30,1.0,LOG,AUTH_SUCCESS,C31
35,25,U28,1.0,LOG,AUTH_SUCCESS,C29
36,26,U29,1.0,LOG,AUTH_SUCCESS,C30
37,26,U13,1.0,LOG,AUTH_SUCCESS,C32
38,27,U31,1.0,LOG,AUTH_SUCCESS,C33
39,27,U32,1.0,LOG,AUTH_SUCCESS,C34
40,28,U33,1.0,LOG,AUTH_SUCCESS,C35
41,28,U34,1.0,LOG,AUTH_SUCCESS,C36
42,28,U35,1.0,LOG,AUTH_SUCCESS,C37
43,29,U34,1.0,LOG,AUTH_SUCCESS,C36
44,29,U35,1.0,LOG,AUTH_SUCCESS,C37
45,29,U36,1.0,LOG,AUTH_SUCCESS,C38
46,30,U37,1.0,LOG,AUTH_SUCCESS,C39
47,30,U38,1.0,LOG,AUTH_SUCCESS,C40
48,30,U23,1.0,LOG,AUTH_SUCCESS,C24
49,30,U39,1.0,LOG,AUTH_SUCCESS,C41
50,30,U13,1.0,LOG,AUTH_SUCCESS,C42
51,31,U40,1.0,LOG,AUTH_SUCCESS,C43
52,31,U41,1.0,LOG,AUTH_SUCCESS,C44
53,31,U42,1.0,LOG,AUTH_SUCCESS,C45
54,31,U43,1.0,LOG,AUTH_SUCCESS,C46
55,31,U38,1.0,LOG,AUTH_SUCCESS,C40
56,31,U44,1.0,LOG,AUTH_SUCCESS,C47
57,33,U45,1.0,LOG,AUTH_SUCCESS,C48
58,33,U46,1.0,LOG,AUTH_SUCCESS,C49
59,34,U47,1.0,LOG,AUTH_SUCCESS,C50
60,34,U48,1.0,LOG,AUTH_SUCCESS,C51
61,35,U47,1.0,LOG,AUTH_SUCCESS,C50
62,35,U49,1.0,LOG,AUTH_SUCCESS,C52
63,35,U12,1.0,LOG,AUTH_SUCCESS,C53
64,35,U12,1.0,LOG,AUTH_SUCCESS,C54
65,36,U50,1.0,LOG,AUTH_SUCCESS,C55
66,36,U51,1.0,LOG,AUTH_SUCCESS,C56
67,37,U52,1.0,LOG,AUTH_SUCCESS,C57
68,37,U53,1.0,LOG,AUTH_SUCCESS,C58
69,37,U51,1.0,LOG,AUTH_SUCCESS,C56
70,37,U54,1.0,LOG,AUTH_SUCCESS,C59
71,37,U55,1.0,LOG,AUTH_SUCCESS,C60
72,38,U56,1.0,LOG,AUTH_SUCCESS,C61
73,38,U52,1.0,LOG,AUTH_SUCCESS,C57
74,38,U54,1.0,LOG,AUTH_SUCCESS,C59
75,39,U57,1.0,LOG,AUTH_SUCCESS,C62
76,39,U6,1.0,LOG,AUTH_SUCCESS,C7
77,39,U58,1.0,LOG,AUTH_SUCCESS,C63
78,39,U59,1.0,LOG,AUTH_SUCCESS,C64
79,39,U12,1.0,LOG,AUTH_SUCCESS,C53
80,39,U12,1.0,LOG,AUTH_SUCCESS,C54
81,40,U58,1.0,LOG,AUTH_SUCCESS,C63
82,40,U60,1.0,LOG,AUTH_SUCCESS,C65
83,41,U61,1.0,LOG,AUTH_SUCCESS,C66
84,41,U62,1.0,LOG,AUTH_SUCCESS,C67
85,42,U62,1.0,LOG,AUTH_SUCCESS,C67
86,42,U37,1.0,LOG,AUTH_SUCCESS,C39
87,42,U63,1.0,LOG,AUTH_SUCCESS,C68
88,42,U64,1.0,LOG,AUTH_SUCCESS,C69
89,42,U9,1.0,LOG,AUTH_SUCCESS,C10
90,43,U37,1.0,LOG,AUTH_SUCCESS,C39
91,43,U12,1.0,LOG,AUTH_SUCCESS,C13
92,44,U65,1.0,LOG,AUTH_SUCCESS,C70
93,44,U66,1.0,LOG,AUTH_SUCCESS,C1
94,44,U67,1.0,LOG,AUTH_SUCCESS,C49
95,45,U65,1.0,LOG,AUTH_SUCCESS,C70
96,45,U68,1.0,LOG,AUTH_SUCCESS,C71
97,45,U69,1.0,LOG,AUTH_SUCCESS,C72
98,45,U70,1.0,LOG,AUTH_SUCCESS,C73
99,45,U71,1.0,LOG,AUTH_SUCCESS,C74
100,46,U72,1.0,LOG,AUTH_SUCCESS,C75
101,46,U73,1.0,LOG,AUTH_SUCCESS,C76
102,46,U74,1.0,LOG,AUTH_SUCCESS,C75
103,46,U75,1.0,LOG,AUTH_SUCCESS,C77
104,46,U68,1.0,LOG,AUTH_SUCCESS,C71
105,46,U76,1.0,LOG,AUTH_SUCCESS,C75
106,46,U63,1.0,LOG,AUTH_SUCCESS,C68
107,46,U77,1.0,LOG,AUTH_SUCCESS,C78
108,47,U78,1.0,LOG,AUTH_SUCCESS,C79
109,47,U79,1.0,LOG,AUTH_SUCCESS,C80
110,47,U57,1.0,LOG,AUTH_SUCCESS,C62
111,47,U75,1.0,LOG,AUTH_SUCCESS,C77
112,47,U68,1.0,LOG,AUTH_SUCCESS,C71
113,47,U80,1.0,LOG,AUTH_SUCCESS,C81
114,47,U81,1.0,LOG,AUTH_SUCCESS,C82
115,47,U81,1.0,LOG,AUTH_SUCCESS,C83
116,47,U82,1.0,LOG,AUTH_SUCCESS,C84
117,47,U83,1.0,LOG,AUTH_SUCCESS,C85
118,47,U84,1.0,LOG,AUTH_SUCCESS,C86
119,47,U84,1.0,LOG,AUTH_SUCCESS,C87
120,47,U84,1.0,LOG,AUTH_SUCCESS,C88
121,47,U84,1.0,LOG,AUTH_SUCCESS,C89
122,47,U84,1.0,LOG,AUTH_SUCCESS,C90
123,47,U84,1.0,LOG,AUTH_SUCCESS,C91
124,47,U84,1.0,LOG,AUTH_SUCCESS,C92
125,47,U85,1.0,LOG,AUTH_SUCCESS,C93
126,47,U12,1.0,LOG,AUTH_SUCCESS,C94
127,47,U12,1.0,LOG,AUTH_SUCCESS,C13
