event_id,timestamp,account_id,amount,currency,event_type,reference
1,1700000123,ACC-16863,1339.12,EUR,TRANSFER,REF-212931
2,1700000124,ACC-15000,1896.24,VND,TRANSFER,REF-457352
3,1700000125,ACC-16802,799.15,EUR,TRANSFER,REF-835775
4,1700000126,ACC-42134,819.72,EUR,DEPOSIT,REF-726628
5,1700000127,ACC-59492,350.31,EUR,FEE,REF-206993
6,1700000128,ACC-15752,464.73,USD,WITHDRAWAL,REF-928450
7,1700000129,ACC-12783,1459.72,EUR,FEE,REF-378209
8,1700000130,ACC-71511,4189.35,EUR,TRANSFER,REF-647010
9,1700000131,ACC-73302,1035.11,VND,TRANSFER,REF-113157
10,1700000132,ACC-62197,4464.81,VND,FEE,REF-818103
11,1700000133,ACC-80584,3192.13,VND,FEE,REF-645898
12,1700000134,ACC-97617,2098.06,VND,DEPOSIT,REF-988502
13,1700000135,ACC-94600,908.14,USD,FEE,REF-790040
14,1700000136,ACC-44326,851.46,EUR,FEE,REF-176850
15,1700000137,ACC-69869,1938.89,EUR,DEPOSIT,REF-298245
16,1700000138,ACC-86834,441.7,VND,TRANSFER,REF-113452
17,1700000139,ACC-56126,4987.77,EUR,DEPOSIT,REF-769831
18,1700000140,ACC-47709,4958.97,VND,WITHDRAWAL,REF-670603
19,1700000141,ACC-73414,4903.39,USD,FEE,REF-496980
20,1700000142,ACC-70462,221.61,USD,FEE,REF-302560
21,1700000143,ACC-12753,1282.56,EUR,TRANSFER,REF-555363
22,1700000144,ACC-93134,2102.37,USD,DEPOSIT,REF-635109
23,1700000145,ACC-56538,3535.56,USD,FEE,REF-108977
24,1700000146,ACC-80228,1887.92,VND,FEE,REF-130552
25,1700000147,ACC-52265,1313.44,EUR,DEPOSIT,REF-887286
26,1700000148,ACC-83608,1674.82,EUR,DEPOSIT,REF-770174
27,1700000149,ACC-93372,4848.46,EUR,DEPOSIT,REF-852581
28,1700000150,ACC-99004,720.78,VND,WITHDRAWAL,REF-880260
29,1700000151,ACC-20272,4123.96,VND,DEPOSIT,REF-894886
30,1700000152,ACC-77986,1936.66,EUR,WITHDRAWAL,REF-787794
31,1700000153,ACC-48167,3880.89,EUR,TRANSFER,REF-232613
32,1700000154,ACC-80113,4874.67,VND,DEPOSIT,REF-760201
33,1700000155,ACC-31863,4011.58,EUR,FEE,REF-165070
34,1700000156,ACC-27827,2274.25,USD,TRANSFER,REF-571569
35,1700000157,ACC-97665,2256.29,EUR,DEPOSIT,REF-266280
36,1700000158,ACC-78365,1624.96,VND,WITHDRAWAL,REF-460260
37,1700000159,ACC-75552,524.78,VND,TRANSFER,REF-335829
38,1700000160,ACC-84735,1701.06,EUR,WITHDRAWAL,REF-313146
39,1700000161,ACC-52212,1323.48,USD,DEPOSIT,REF-306668
40,1700000162,ACC-76208,998.3,USD,WITHDRAWAL,REF-381280
41,1700000163,ACC-84006,1155.41,VND,TRANSFER,REF-187808
42,1700000164,ACC-54714,2773.12,USD,WITHDRAWAL,REF-924264
43,1700000165,ACC-73433,2461.94,EUR,DEPOSIT,REF-369328
44,1700000166,ACC-85752,4335.89,EUR,FEE,REF-335038
45,1700000167,ACC-75700,4624.87,VND,DEPOSIT,REF-932347
46,1700000168,ACC-88800,3046.18,EUR,TRANSFER,REF-829580
47,1700000169,ACC-86627,612.46,USD,TRANSFER,REF-583143
48,1700000170,ACC-57427,4788.46,EUR,TRANSFER,REF-476093
49,1700000171,ACC-38389,3851.66,EUR,WITHDRAWAL,REF-960333
50,1700000172,ACC-33681,1912.49,USD,FEE,REF-493567
