event_id,timestamp,account_id,amount,currency,event_type,reference
1,1700000042,ACC-93810,557.54,VND,TRANSFER,REF-356787
2,1700000043,ACC-39256,698.55,USD,DEPOSIT,REF-719176
3,1700000044,ACC-65302,159.88,USD,WITHDRAWAL,REF-343962
4,1700000045,ACC-76237,3010.49,VND,WITHDRAWAL,REF-850800
5,1700000046,ACC-95181,3506.92,EUR,WITHDRAWAL,REF-571029
6,1700000047,ACC-87236,1391.68,USD,WITHDRAWAL,REF-832052
7,1700000048,ACC-65392,1701.91,USD,WITHDRAWAL,REF-900581
8,1700000049,ACC-54118,511.95,EUR,DEPOSIT,REF-476417
9,1700000050,ACC-55082,3019.03,USD,FEE,REF-662275
10,1700000051,ACC-26361,4865.61,EUR,DEPOSIT,REF-678856
11,1700000052,ACC-48427,4147.19,VND,TRANSFER,REF-705397
12,1700000053,ACC-35203,3523.15,USD,WITHDRAWAL,REF-910620
13,1700000054,ACC-47930,4926.12,USD,DEPOSIT,REF-498591
14,1700000055,ACC-46434,2267.6,EUR,WITHDRAWAL,REF-488162
15,1700000056,ACC-56566,1048.33,EUR,DEPOSIT,REF-738720
16,1700000057,ACC-93227,856.52,VND,WITHDRAWAL,REF-271339
17,1700000058,ACC-70589,1897.9,VND,WITHDRAWAL,REF-817870
18,1700000059,ACC-52504,4214.42,USD,WITHDRAWAL,REF-961722
19,1700000060,ACC-14207,4025.42,EUR,TRANSFER,REF-169403
20,1700000061,ACC-37653,4565.77,VND,TRANSFER,REF-322955
21,1700000062,ACC-95909,2496.66,VND,FEE,REF-249811
22,1700000063,ACC-44718,699.01,VND,TRANSFER,REF-883300
23,1700000064,ACC-86622,2142.74,VND,FEE,REF-479580
24,1700000065,ACC-38746,4986.63,USD,FEE,REF-195325
25,1700000066,ACC-16175,4305.65,USD,WITHDRAWAL,REF-930555
26,1700000067,ACC-99192,2111.38,USD,FEE,REF-500156
27,1700000068,ACC-88104,4980.61,VND,TRANSFER,REF-680099
28,1700000069,ACC-11504,3401.74,USD,TRANSFER,REF-905934
29,1700000070,ACC-94012,1701.54,EUR,FEE,REF-265840
30,1700000071,ACC-69470,17.22,VND,TRANSFER,REF-624902
31,1700000072,ACC-33416,2538.9,USD,TRANSFER,REF-982554
32,1700000073,ACC-93748,2538.81,USD,WITHDRAWAL,REF-492077
33,1700000074,ACC-31174,2697.36,VND,DEPOSIT,REF-728038
34,1700000075,ACC-52487,2443.54,USD,TRANSFER,REF-972064
35,1700000076,ACC-50306,1198.02,USD,DEPOSIT,REF-189814
36,1700000077,ACC-73699,4080.3,VND,WITHDRAWAL,REF-234628
37,1700000078,ACC-96474,2376.94,VND,WITHDRAWAL,REF-377932
38,1700000079,ACC-79163,4362.29,EUR,WITHDRAWAL,REF-665492
39,1700000080,ACC-36365,3565.03,EUR,TRANSFER,REF-559381
