event_id,timestamp,account_id,amount,currency,event_type,reference
1,1700000999,ACC-98972,401.25,VND,FEE,REF-606866
2,1700001000,ACC-27310,4391.09,VND,TRANSFER,REF-774979
3,1700001001,ACC-94224,4225.85,USD,WITHDRAWAL,REF-256404
4,1700001002,ACC-44679,4873.59,USD,TRANSFER,REF-517388
5,1700001003,ACC-39718,4168.33,EUR,DEPOSIT,REF-382902
6,1700001004,ACC-13080,4807.7,VND,WITHDRAWAL,REF-295352
7,1700001005,ACC-98478,1654.34,USD,FEE,REF-830125
8,1700001006,ACC-58253,649.4,VND,FEE,REF-587535
9,1700001007,ACC-11925,3744.33,USD,DEPOSIT,REF-857579
10,1700001008,ACC-95741,1156.22,EUR,TRANSFER,REF-144320
11,1700001009,ACC-31536,2268.65,USD,FEE,REF-741929
12,1700001010,ACC-82517,3966.31,USD,WITHDRAWAL,REF-207035
13,1700001011,ACC-17944,1038.75,VND,TRANSFER,REF-254732
14,1700001012,ACC-42215,2346.69,EUR,FEE,REF-204322
15,1700001013,ACC-14792,2049.35,USD,FEE,REF-695948
16,1700001014,ACC-22397,4285.31,VND,DEPOSIT,REF-391443
17,1700001015,ACC-59796,2620.44,EUR,DEPOSIT,REF-748497
18,1700001016,ACC-71307,226.17,EUR,DEPOSIT,REF-787602
19,1700001017,ACC-23928,1257.62,USD,DEPOSIT,REF-689619
20,1700001018,ACC-74228,1566.88,EUR,FEE,REF-275467
21,1700001019,ACC-69298,2689.59,VND,TRANSFER,REF-745100
22,1700001020,ACC-79410,533.48,EUR,FEE,REF-151100
23,1700001021,ACC-28408,4284.97,VND,TRANSFER,REF-917441
24,1700001022,ACC-88864,3859.82,EUR,DEPOSIT,REF-690244
25,1700001023,ACC-74095,2648.93,USD,FEE,REF-534622
26,1700001024,ACC-69338,2505.71,VND,WITHDRAWAL,REF-466293
27,1700001025,ACC-16550,3949.45,EUR,TRANSFER,REF-471151
28,1700001026,ACC-41717,40.14,VND,TRANSFER,REF-879920
29,1700001027,ACC-74587,199.8,EUR,TRANSFER,REF-383378
30,1700001028,ACC-62386,2845.85,USD,TRANSFER,REF-532326
31,1700001029,ACC-15343,3886.61,EUR,TRANSFER,REF-517977
32,1700001030,ACC-96751,1613.33,USD,WITHDRAWAL,REF-811848
33,1700001031,ACC-98245,138.11,VND,FEE,REF-407447
34,1700001032,ACC-76854,3712.11,EUR,TRANSFER,REF-277530
35,1700001033,ACC-85278,4802.9,USD,DEPOSIT,REF-668733
36,1700001034,ACC-45149,929.28,USD,FEE,REF-935684
37,1700001035,ACC-91418,3718.97,USD,WITHDRAWAL,REF-389367
38,1700001036,ACC-71442,2920.6,VND,WITHDRAWAL,REF-453403
39,1700001037,ACC-97742,1314.81,USD,DEPOSIT,REF-890849
40,1700001038,ACC-65450,3371.72,EUR,WITHDRAWAL,REF-152991
41,1700001039,ACC-61888,2927.12,EUR,FEE,REF-940473
42,1700001040,ACC-91166,598.4,VND,WITHDRAWAL,REF-880250
43,1700001041,ACC-90434,3400.39,VND,TRANSFER,REF-159301
44,1700001042,ACC-37168,3688.49,USD,DEPOSIT,REF-477099
45,1700001043,ACC-68135,665.53,EUR,WITHDRAWAL,REF-228247
46,1700001044,ACC-29548,1246.01,USD,DEPOSIT,REF-161341
47,1700001045,ACC-80127,4693.75,EUR,TRANSFER,REF-912132
48,1700001046,ACC-65186,2467.31,USD,WITHDRAWAL,REF-902387
49,1700001047,ACC-38724,1283.09,VND,TRANSFER,REF-845688
50,1700001048,ACC-70555,2408.07,USD,FEE,REF-272124
51,1700001049,ACC-10896,541.53,EUR,DEPOSIT,REF-645175
52,1700001050,ACC-83310,835.14,USD,TRANSFER,REF-643752
53,1700001051,ACC-91349,3857.76,USD,TRANSFER,REF-681500
54,1700001052,ACC-63509,21.24,VND,TRANSFER,REF-448222
55,1700001053,ACC-23923,3078.0,EUR,TRANSFER,REF-597761
56,1700001054,ACC-36231,3232.17,EUR,TRANSFER,REF-175996
