event_id,timestamp,account_id,amount,currency,event_type,reference
1,1700000125,ACC-10004,47.59,USD,DEPOSIT,REF-DE-457352
2,1700000125,ACC-10002,276.52,USD,TRANSFER,REF-TR-557468
3,1700000125,ACC-10003,560.13,VND,TRANSFER,REF-TR-405976
4,1700000126,ACC-10001,104.29,USD,TRANSFER,REF-TR-961166
5,1700000131,ACC-10091,238.26,USD,TRANSFER,REF-TR-637659
6,1700000135,ACC-10081,541.83,USD,WITHDRAWAL,REF-WI-800941
7,1700000135,ACC-10125,502.25,USD,WITHDRAWAL,REF-WI-610557
8,1700000138,ACC-10002,329.83,USD,TRANSFER,REF-TR-506486
9,1700000138,ACC-10000,60.29,USD,TRANSFER,REF-TR-469008
10,1700000143,ACC-10009,2.4,USD,FEE,REF-FE-855284
11,1700000146,ACC-10000,869.02,USD,WITHDRAWAL,REF-WI-146273
12,1700000149,ACC-10000,958.0,USD,DEPOSIT,REF-DE-765078
13,1700000152,ACC-10000,173.19,USD,WITHDRAWAL,REF-WI-108977
14,1700000154,ACC-10012,512.2,USD,TRANSFER,REF-TR-375293
15,1700000159,ACC-10013,3.1,USD,FEE,REF-FE-271818
16,1700000160,ACC-10043,658.0,USD,TRANSFER,REF-TR-880260
17,1700000161,ACC-10000,235.67,VND,DEPOSIT,REF-DE-787794
18,1700000163,ACC-10113,248.36,USD,TRANSFER,REF-TR-642222
19,1700000166,ACC-10016,147.7,USD,DEPOSIT,REF-DE-800917
20,1700000169,ACC-10051,717.79,USD,DEPOSIT,REF-DE-418563
21,1700000173,ACC-10000,126.51,VND,WITHDRAWAL,REF-WI-244044
22,1700000173,ACC-10046,82.42,USD,WITHDRAWAL,REF-WI-384951
23,1700000177,ACC-10175,3.35,USD,FEE,REF-FE-309190
24,1700000181,ACC-10000,240.58,VND,TRANSFER,REF-TR-432428
25,1700000181,ACC-10000,217.07,USD,DEPOSIT,REF-DE-369328
26,1700000184,ACC-10148,1427.66,VND,TRANSFER,REF-TR-460075
27,1700000189,ACC-10000,1066.56,USD,TRANSFER,REF-TR-997372
28,1700000190,ACC-10066,82.76,USD,WITHDRAWAL,REF-WI-500948
29,1700000191,ACC-10005,3.33,USD,FEE,REF-FE-997928
30,1700000195,ACC-10240,167.0,USD,TRANSFER,REF-TR-437886
31,1700000200,ACC-10016,123.71,USD,DEPOSIT,REF-DE-440467
32,1700000205,ACC-10118,256.66,USD,WITHDRAWAL,REF-WI-577611
33,1700000205,ACC-10001,868.92,VND,TRANSFER,REF-TR-593153
34,1700000205,ACC-10152,4.89,USD,FEE,REF-FE-585916
35,1700000205,ACC-10018,672.15,VND,TRANSFER,REF-TR-365669
36,1700000207,ACC-10003,309.4,VND,WITHDRAWAL,REF-WI-650263
