event_id,timestamp,account_id,amount,currency,event_type,reference
1,1700000047,ACC-10001,66.56,USD,TRANSFER,REF-TR-876646
2,1700000048,ACC-10005,407.25,USD,TRANSFER,REF-TR-850800
3,1700000048,ACC-10001,901.07,USD,TRANSFER,REF-TR-895667
4,1700000048,ACC-10003,296.19,EUR,TRANSFER,REF-TR-476417
5,1700000051,ACC-10089,943.69,USD,TRANSFER,REF-TR-182627
6,1700000056,ACC-10020,1751.4,VND,TRANSFER,REF-TR-172933
7,1700000056,ACC-10002,95.04,USD,DEPOSIT,REF-DE-498591
8,1700000058,ACC-10003,171.82,EUR,WITHDRAWAL,REF-WI-835911
9,1700000059,ACC-10019,1.3,EUR,FEE,REF-FE-584714
10,1700000059,ACC-10024,292.6,VND,WITHDRAWAL,REF-WI-340174
11,1700000060,ACC-10004,607.02,VND,TRANSFER,REF-TR-787277
12,1700000065,ACC-10025,116.64,VND,WITHDRAWAL,REF-WI-688637
13,1700000066,ACC-10005,505.03,EUR,TRANSFER,REF-TR-634277
14,1700000071,ACC-10140,116.97,VND,WITHDRAWAL,REF-WI-542666
15,1700000075,ACC-10017,374.95,USD,TRANSFER,REF-TR-112038
16,1700000077,ACC-10172,2591.31,USD,TRANSFER,REF-TR-216970
17,1700000081,ACC-10000,752.4,USD,WITHDRAWAL,REF-WI-898975
18,1700000085,ACC-10152,93.51,VND,DEPOSIT,REF-DE-308573
19,1700000085,ACC-10011,553.35,VND,DEPOSIT,REF-DE-728038
20,1700000089,ACC-10256,161.5,USD,WITHDRAWAL,REF-WI-182582
21,1700000090,ACC-10000,1234.33,USD,DEPOSIT,REF-DE-791798
22,1700000091,ACC-10001,599.93,USD,WITHDRAWAL,REF-WI-665492
23,1700000093,ACC-10042,237.98,EUR,TRANSFER,REF-TR-559381
24,1700000093,ACC-10001,505.1,USD,TRANSFER,REF-TR-174441
25,1700000097,ACC-10000,121.44,USD,TRANSFER,REF-TR-349565
26,1700000100,ACC-10011,258.64,USD,WITHDRAWAL,REF-WI-946721
27,1700000105,ACC-10028,151.11,USD,WITHDRAWAL,REF-WI-156802
28,1700000105,ACC-10000,313.3,VND,TRANSFER,REF-TR-360735
29,1700000105,ACC-10000,89.17,USD,WITHDRAWAL,REF-WI-564656
30,1700000105,ACC-10000,712.04,VND,TRANSFER,REF-TR-197793
31,1700000108,ACC-10000,3.27,VND,FEE,REF-FE-161483
32,1700000113,ACC-10004,74.23,USD,DEPOSIT,REF-DE-921414
33,1700000118,ACC-10000,542.78,EUR,TRANSFER,REF-TR-428838
34,1700000122,ACC-10009,422.57,USD,DEPOSIT,REF-DE-184002
35,1700000126,ACC-10000,1142.61,USD,TRANSFER,REF-TR-358175
36,1700000128,ACC-10000,750.67,USD,TRANSFER,REF-TR-373432
37,1700000130,ACC-10001,135.63,EUR,WITHDRAWAL,REF-WI-579434
38,1700000132,ACC-10000,121.18,VND,WITHDRAWAL,REF-WI-172132
39,1700000136,ACC-10000,2783.0,USD,TRANSFER,REF-TR-946305
40,1700000137,ACC-10097,145.12,USD,TRANSFER,REF-TR-377312
41,1700000142,ACC-10013,90.97,USD,DEPOSIT,REF-DE-459536
42,1700000142,ACC-10001,183.64,EUR,WITHDRAWAL,REF-WI-196781
43,1700000144,ACC-10000,290.47,VND,TRANSFER,REF-TR-269430
44,1700000148,ACC-10005,647.32,USD,TRANSFER,REF-TR-679364
45,1700000148,ACC-10002,121.94,USD,DEPOSIT,REF-DE-470858
46,1700000149,ACC-10004,515.35,VND,TRANSFER,REF-TR-270395
47,1700000154,ACC-10167,4.61,VND,FEE,REF-FE-213346
48,1700000155,ACC-10007,60.74,USD,WITHDRAWAL,REF-WI-333752
49,1700000158,ACC-10002,85.52,USD,DEPOSIT,REF-DE-812526
50,1700000161,ACC-10281,2.71,USD,FEE,REF-FE-462479
51,1700000165,ACC-10019,416.5,USD,TRANSFER,REF-TR-299312
52,1700000170,ACC-10000,919.32,EUR,WITHDRAWAL,REF-WI-877991
53,1700000170,ACC-10005,755.71,USD,TRANSFER,REF-TR-854717
54,1700000174,ACC-10029,150.69,USD,TRANSFER,REF-TR-233470
55,1700000178,ACC-10003,352.07,EUR,WITHDRAWAL,REF-WI-415568
56,1700000182,ACC-10002,27.42,VND,WITHDRAWAL,REF-WI-786508
57,1700000187,ACC-10031,240.72,USD,WITHDRAWAL,REF-WI-277934
58,1700000188,ACC-10029,505.56,USD,TRANSFER,REF-TR-805477
59,1700000191,ACC-10000,465.03,VND,WITHDRAWAL,REF-WI-534572
60,1700000192,ACC-10044,289.59,USD,TRANSFER,REF-TR-787926
61,1700000197,ACC-10139,34.39,VND,TRANSFER,REF-TR-643118
62,1700000200,ACC-10231,112.78,USD,WITHDRAWAL,REF-WI-800005
63,1700000205,ACC-10002,884.97,USD,TRANSFER,REF-TR-629298
64,1700000210,ACC-10006,162.3,VND,WITHDRAWAL,REF-WI-390782
65,1700000212,ACC-10022,265.29,USD,TRANSFER,REF-TR-345884
66,1700000217,ACC-10011,107.09,USD,WITHDRAWAL,REF-WI-260227
67,1700000218,ACC-10004,457.2,USD,TRANSFER,REF-TR-973349
68,1700000222,ACC-10016,1820.96,VND,WITHDRAWAL,REF-WI-498858
69,1700001636,ACC-10002,46.18,VND,WITHDRAWAL,REF-WI-664365
70,1700000228,ACC-10018,218.29,USD,TRANSFER,REF-TR-609232
71,1700000231,ACC-10032,185.5,USD,DEPOSIT,REF-DE-233827
72,1700000231,ACC-10210,4.1,USD,FEE,REF-FE-773971
73,1700000234,ACC-10000,127.67,VND,WITHDRAWAL,REF-WI-442722
74,1700000234,ACC-10001,738.31,VND,WITHDRAWAL,REF-WI-593152
75,1700000239,ACC-10499,114.19,USD,DEPOSIT,REF-DE-142213
76,1700000243,ACC-10001,57.98,VND,TRANSFER,REF-TR-328552
77,1700000244,ACC-10003,1009.51,USD,WITHDRAWAL,REF-WI-426147
78,1700000244,ACC-10002,126.48,USD,DEPOSIT,REF-DE-720859
79,1700000248,ACC-10000,490.77,EUR,TRANSFER,REF-TR-920652
80,1700000251,ACC-10028,60.49,USD,DEPOSIT,REF-DE-210665
81,1700000252,ACC-10183,205.74,USD,WITHDRAWAL,REF-WI-869440
82,1700000256,ACC-10020,285.49,EUR,TRANSFER,REF-TR-381433
83,1700000259,ACC-10270,118.93,USD,WITHDRAWAL,REF-WI-697530
84,1700000260,ACC-10000,842.09,USD,TRANSFER,REF-TR-472060
85,1700000260,ACC-10166,649.94,USD,TRANSFER,REF-TR-641722
86,1700000265,ACC-10044,3.2,USD,FEE,REF-FE-599219
87,1700000270,ACC-10079,164.54,USD,TRANSFER,REF-TR-355123
88,1700000275,ACC-10007,240.59,USD,WITHDRAWAL,REF-WI-677124
89,1700000276,ACC-10001,143.09,EUR,WITHDRAWAL,REF-WI-430876
90,1700000279,ACC-10062,119.06,USD,DEPOSIT,REF-DE-389930
91,1700000280,ACC-10010,266.7,VND,TRANSFER,REF-TR-410636
