event_id,timestamp,account_id,amount,currency,event_type,reference
1,1700001000,ACC-10155,517.17,USD,TRANSFER,REF-TR-937459
2,1700001001,ACC-10024,1891.35,EUR,TRANSFER,REF-TR-256404
3,1700001001,ACC-10038,275.65,USD,WITHDRAWAL,REF-WI-309896
4,1700001001,ACC-10001,1043.13,VND,TRANSFER,REF-TR-678572
5,1700001006,ACC-10188,1322.73,USD,TRANSFER,REF-TR-785250
6,1700001008,ACC-10000,330.09,USD,WITHDRAWAL,REF-WI-991398
7,1700001012,ACC-10067,368.96,USD,TRANSFER,REF-TR-680141
8,1700001015,ACC-10000,520.66,USD,TRANSFER,REF-TR-719109
9,1700001015,ACC-10000,491.4,USD,WITHDRAWAL,REF-WI-907145
10,1700001019,ACC-10242,338.86,USD,WITHDRAWAL,REF-WI-425131
11,1700001019,ACC-10166,974.39,USD,TRANSFER,REF-TR-581246
12,1700001022,ACC-10000,471.37,VND,TRANSFER,REF-TR-946636
13,1700001026,ACC-10011,405.63,USD,TRANSFER,REF-TR-211690
14,1700001028,ACC-10000,120.32,VND,TRANSFER,REF-TR-917441
15,1700001031,ACC-10000,353.06,USD,TRANSFER,REF-TR-534622
16,1700001034,ACC-10020,73.19,USD,WITHDRAWAL,REF-WI-395667
17,1700001036,ACC-10045,212.16,USD,WITHDRAWAL,REF-WI-383378
18,1700001038,ACC-10002,71.15,EUR,WITHDRAWAL,REF-WI-517977
19,1700001038,ACC-10117,1034.74,USD,TRANSFER,REF-TR-907560
20,1700001043,ACC-10012,87.84,VND,TRANSFER,REF-TR-514533
21,1700001045,ACC-10045,663.71,USD,TRANSFER,REF-TR-294714
22,1700001047,ACC-10021,431.93,USD,WITHDRAWAL,REF-WI-591542
23,1700001047,ACC-10002,657.56,EUR,TRANSFER,REF-TR-890849
24,1700001051,ACC-10005,3.64,EUR,FEE,REF-FE-225308
25,1700001055,ACC-10020,33.25,USD,DEPOSIT,REF-DE-673539
