proof_type,num_events,old_size,new_size,index,seed,trial,proof_hashes,proof_size_bytes_json,proof_payload_bytes_raw,generation_time_ms,verification_time_ms,verified
inclusion,10,0,10,5,42,0,4,300,128,0.058582983911037445,0.010791001841425896,1
consistency_internal,10,5,10,-1,42,0,5,763,160,0.3144580405205488,0.07245782762765884,1
consistency_external,10,5,10,-1,42,0,5,763,160,0.0,0.24979212321341038,1
inclusion,10,0,10,5,42,1,4,300,128,0.05737505853176117,0.008833827450871468,1
consistency_internal,10,5,10,-1,42,1,5,763,160,0.3017501439899206,0.06895884871482849,1
consistency_external,10,5,10,-1,42,1,5,763,160,0.0,0.23979204706847668,1
inclusion,10,0,10,5,42,2,4,300,128,0.056999968364834785,0.008249888196587563,1
consistency_internal,10,5,10,-1,42,2,5,763,160,0.2990828361362219,0.06925011985003948,1
consistency_external,10,5,10,-1,42,2,5,763,160,0.0,0.23612496443092823,1
inclusion,20,0,20,10,42,0,5,375,160,0.111832981929183,0.01058308407664299,1
consistency_internal,20,10,20,-1,42,0,5,764,160,0.45654200948774815,0.15024980530142784,1
consistency_external,20,10,20,-1,42,0,5,764,160,0.0,0.26275007985532284,1
inclusion,20,0,20,10,42,1,5,375,160,0.11458410881459713,0.009458046406507492,1
consistency_internal,20,10,20,-1,42,1,5,764,160,0.4115831106901169,0.14100014232099056,1
consistency_external,20,10,20,-1,42,1,5,764,160,0.0,0.24879095144569874,1
inclusion,20,0,20,10,42,2,5,375,160,0.11475011706352234,0.009624985978007317,1
consistency_internal,20,10,20,-1,42,2,5,764,160,0.4574169870465994,0.14337501488626003,1
consistency_external,20,10,20,-1,42,2,5,764,160,0.0,0.26745907962322235,1
