method,num_events,seed,commit_time_ms,verify_time_ms,memory_peak_kb,throughput_eps,commitment_size_bytes,proof_size_bytes,clean_verified,trial
csv,10,42,0.35512493923306465,0.04854192957282066,1.2607421875,28159.103727257825,64,0,1,0
csv,10,42,0.27804099954664707,0.043708132579922676,1.09765625,35965.91875408754,64,0,1,1
csv,10,42,0.27454085648059845,0.04254095256328583,1.09765625,36424.451093335505,64,0,1,2
signed_digest,10,42,5.962457973510027,0.742417061701417,128.7587890625,1677.1606683733355,264,0,1,0
signed_digest,10,42,0.5907081067562103,0.310166971758008,128.7587890625,16928.83487737045,264,0,1,1
signed_digest,10,42,0.5475841462612152,0.2761250361800194,128.7587890625,18262.033457830752,264,0,1,2
hashchain,10,42,0.2995419781655073,0.04866695962846279,2.2177734375,33384.30246486072,64,32,1,0
hashchain,10,42,0.28775003738701344,0.04724995233118534,2.2177734375,34752.38471142355,64,32,1,1
hashchain,10,42,0.2918748650699854,0.049625057727098465,2.2177734375,34261.25780855509,64,32,1,2
signed_hashchain,10,42,0.5787499248981476,0.2929579932242632,130.072265625,17278.61995275398,263,32,1,0
signed_hashchain,10,42,0.5611670203506947,0.2963331062346697,130.056640625,17820.006588681244,263,32,1,1
signed_hashchain,10,42,0.5675000138580799,0.2875840291380882,130.041015625,17621.144944149368,263,32,1,2
merkle_signed,10,42,1.0974158067256212,0.3242911770939827,129.9091796875,9112.316351481373,263,300,1,0
merkle_signed,10,42,0.950374873355031,0.3035000991076231,129.9091796875,10522.163706514899,263,300,1,1
merkle_signed,10,42,0.9077088907361031,0.28883409686386585,129.9091796875,11016.74788256237,263,300,1,2
csv,20,42,0.6843330338597298,0.10095816105604172,1.0986328125,29225.536413458412,64,0,1,0
csv,20,42,0.6564999930560589,0.09150011464953423,1.0986328125,30464.58524226091,64,0,1,1
csv,20,42,0.5667919758707285,0.08625001646578312,1.0986328125,35286.31464705406,64,0,1,2
signed_digest,20,42,0.9581670165061951,0.40604197420179844,128.7587890625,20873.18771723832,264,0,1,0
signed_digest,20,42,0.9107079822570086,0.379541190341115,128.7587890625,21960.936315100676,264,0,1,1
signed_digest,20,42,0.8508749306201935,0.3337501548230648,128.7587890625,23505.217136227315,264,0,1,2
hashchain,20,42,0.5835408810526133,0.097665935754776,3.306640625,34273.5199013362,64,32,1,0
hashchain,20,42,0.5702080670744181,0.0938749872148037,3.306640625,35074.915903267625,64,32,1,1
hashchain,20,42,0.5967500619590282,0.09237509220838547,3.306640625,33514.86874478643,64,32,1,2
signed_hashchain,20,42,0.8374168537557125,0.33074989914894104,131.05859375,23882.968094447155,263,32,1,0
signed_hashchain,20,42,0.8640419691801071,0.3518748562783003,131.04296875,23147.023771285185,263,32,1,1
signed_hashchain,20,42,0.8855420164763927,0.33599999733269215,131.01953125,22585.03789530033,263,32,1,2
merkle_signed,20,42,1.5694999601691961,0.34716585651040077,130.9970703125,12742.912078725984,263,375,1,0
merkle_signed,20,42,1.5433751977980137,0.3405830357223749,130.9970703125,12958.61176759526,263,375,1,1
merkle_signed,20,42,1.6860419418662786,0.3980000037699938,130.9970703125,11862.101115860743,263,375,1,2
