method,num_events,trials,commit_time_ms_median,commit_time_ms_mean,verify_time_ms_median,verify_time_ms_mean,memory_peak_kb_median,throughput_eps_median,commitment_size_bytes,proof_size_bytes,clean_verified_all
csv,10,3,0.27804099954664707,0.30256893175343674,0.043708132579922676,0.04493033823867639,1.09765625,35965.91875408754,64,0,1
hashchain,10,3,0.2918748650699854,0.2930556268741687,0.04866695962846279,0.0485139898955822,2.2177734375,34261.25780855509,64,32,1
merkle_signed,10,3,0.950374873355031,0.9851665236055851,0.3035000991076231,0.3055417910218239,129.9091796875,10522.163706514899,263,300,1
signed_digest,10,3,0.5907081067562103,2.3669167421758175,0.310166971758008,0.4429030232131481,128.7587890625,16928.83487737045,264,0,1
signed_hashchain,10,3,0.5675000138580799,0.5691389863689741,0.2929579932242632,0.29229170953234035,130.056640625,17621.144944149368,263,32,1
csv,20,3,0.6564999930560589,0.6358750009288391,0.09150011464953423,0.09290276405711968,1.0986328125,30464.58524226091,64,0,1
hashchain,20,3,0.5835408810526133,0.5834996700286865,0.0938749872148037,0.09463867172598839,3.306640625,34273.5199013362,64,32,1
merkle_signed,20,3,1.5694999601691961,1.5996390332778294,0.34716585651040077,0.36191629866758984,130.9970703125,12742.912078725984,263,375,1
signed_digest,20,3,0.9107079822570086,0.9065833097944657,0.379541190341115,0.3731111064553261,128.7587890625,21960.936315100676,264,0,1
signed_hashchain,20,3,0.8640419691801071,0.8623336131374041,0.33599999733269215,0.33954158425331116,131.04296875,23147.023771285185,263,32,1
