method,num_events,seed,commit_time_ms,verify_time_ms,memory_peak_kb,throughput_eps,commitment_size_bytes,proof_size_bytes,clean_verified,trial
csv,10,7,0.4189161118119955,0.06170803681015968,1.29296875,23871.127698444503,64,0,1,0
csv,10,7,0.4047080874443054,0.0904998742043972,1.1298828125,24709.167694545187,64,0,1,1
signed_digest,10,7,9.152500191703439,0.631208997219801,128.7587890625,1092.5976280300767,264,0,1,0
signed_digest,10,7,0.6769171450287104,0.3168338444083929,128.7587890625,14772.856727651455,264,0,1,1
hashchain,10,7,0.3546250518411398,0.0599580816924572,2.240234375,28198.79742867029,64,32,1,0
hashchain,10,7,0.31512510031461716,0.05366699770092964,2.240234375,31733.429009673044,64,32,1,1
signed_hashchain,10,7,0.6230829749256372,0.3508329391479492,130.095703125,16049.226832419012,263,32,1,0
signed_hashchain,10,7,0.6320001557469368,0.31637493520975113,130.072265625,15822.780910839148,263,32,1,1
merkle_signed,10,7,1.0680421255528927,0.38837501779198647,129.9091796875,9362.926574476925,263,300,1,0
merkle_signed,10,7,1.4193749520927668,0.3700840752571821,129.9091796875,7045.354707193977,263,300,1,1
