proof_type,num_events,old_size,new_size,index,seed,trial,proof_hashes,proof_size_bytes_json,proof_payload_bytes_raw,generation_time_ms,verification_time_ms,verified
inclusion,1000,0,1000,500,42,0,10,750,320,6.121000042185187,0.020166859030723572,1
consistency_internal,1000,500,1000,-1,42,0,9,1039,288,10.399458929896355,7.564083905890584,1
consistency_external,1000,500,1000,-1,42,0,9,1039,288,0.0,0.3314591012895107,1
inclusion,1000,0,1000,500,42,1,10,750,320,5.965916905552149,0.016458798199892044,1
consistency_internal,1000,500,1000,-1,42,1,9,1039,288,10.248000035062432,7.4789999052882195,1
consistency_external,1000,500,1000,-1,42,1,9,1039,288,0.0,0.3356251399964094,1
inclusion,1000,0,1000,500,42,2,10,750,320,6.291999947279692,0.02074986696243286,1
consistency_internal,1000,500,1000,-1,42,2,9,1039,288,14.63395799510181,8.42912495136261,1
consistency_external,1000,500,1000,-1,42,2,9,1039,288,0.0,0.4581250250339508,1
inclusion,1000,0,1000,500,42,3,10,750,320,6.575917126610875,0.018458813428878784,1
consistency_internal,1000,500,1000,-1,42,3,9,1039,288,10.13445807620883,7.356208050623536,1
consistency_external,1000,500,1000,-1,42,3,9,1039,288,0.0,0.3075420390814543,1
inclusion,1000,0,1000,500,42,4,10,750,320,5.926625104621053,0.014374963939189911,1
consistency_internal,1000,500,1000,-1,42,4,9,1039,288,10.024209041148424,7.347916020080447,1
consistency_external,1000,500,1000,-1,42,4,9,1039,288,0.0,0.2633749973028898,1
inclusion,10000,0,10000,5000,42,0,14,1050,448,58.49758302792907,0.01945788972079754,1
consistency_internal,10000,5000,10000,-1,42,0,12,1245,384,97.20733412541449,72.93766690418124,1
consistency_external,10000,5000,10000,-1,42,0,12,1245,384,0.0,0.29679108411073685,1
inclusion,10000,0,10000,5000,42,1,14,1050,448,58.486750116571784,0.01750001683831215,1
consistency_internal,10000,5000,10000,-1,42,1,12,1245,384,98.99375005625188,74.3978749960661,1
consistency_external,10000,5000,10000,-1,42,1,12,1245,384,0.0,0.39062509313225746,1
inclusion,10000,0,10000,5000,42,2,14,1050,448,58.76400019042194,0.02033286727964878,1
consistency_internal,10000,5000,10000,-1,42,2,12,1245,384,97.16195799410343,73.13929218798876,1
consistency_external,10000,5000,10000,-1,42,2,12,1245,384,0.0,0.3093332052230835,1
inclusion,10000,0,10000,5000,42,3,14,1050,448,58.34358395077288,0.01737498678267002,1
consistency_internal,10000,5000,10000,-1,42,3,12,1245,384,97.28283318690956,73.00929096527398,1
consistency_external,10000,5000,10000,-1,42,3,12,1245,384,0.0,0.294041121378541,1
inclusion,10000,0,10000,5000,42,4,14,1050,448,58.851584093645215,0.019333092495799065,1
consistency_internal,10000,5000,10000,-1,42,4,12,1245,384,97.19616710208356,72.90225010365248,1
consistency_external,10000,5000,10000,-1,42,4,12,1245,384,0.0,0.3307908773422241,1
inclusion,100000,0,100000,50000,42,0,17,1275,544,625.4671670030802,0.05687517113983631,1
consistency_internal,100000,50000,100000,-1,42,0,14,1383,448,1017.4408331513405,762.1095420327038,1
consistency_external,100000,50000,100000,-1,42,0,14,1383,448,0.0,0.45104208402335644,1
inclusion,100000,0,100000,50000,42,1,17,1275,544,614.3400410655886,0.06350013427436352,1
consistency_internal,100000,50000,100000,-1,42,1,14,1383,448,1030.505291884765,757.7142079826444,1
consistency_external,100000,50000,100000,-1,42,1,14,1383,448,0.0,0.4677081014961004,1
inclusion,100000,0,100000,50000,42,2,17,1275,544,605.8615001384169,0.06424984894692898,1
consistency_internal,100000,50000,100000,-1,42,2,14,1383,448,1002.1558748558164,746.5569169726223,1
consistency_external,100000,50000,100000,-1,42,2,14,1383,448,0.0,0.4692920483648777,1
inclusion,100000,0,100000,50000,42,3,17,1275,544,602.4590409360826,0.05233287811279297,1
consistency_internal,100000,50000,100000,-1,42,3,14,1383,448,996.9430000055581,753.5506670828909,1
consistency_external,100000,50000,100000,-1,42,3,14,1383,448,0.0,0.4986249841749668,1
inclusion,100000,0,100000,50000,42,4,17,1275,544,685.6780829839408,0.06083305925130844,1
consistency_internal,100000,50000,100000,-1,42,4,14,1383,448,1002.4357079528272,748.8778328988701,1
consistency_external,100000,50000,100000,-1,42,4,14,1383,448,0.0,0.4437500610947609,1
