method,num_events,seed,commit_time_ms,verify_time_ms,memory_peak_kb,throughput_eps,commitment_size_bytes,proof_size_bytes,clean_verified,trial
csv,1000,42,31.70074988156557,8.399458136409521,1.2900390625,31544.995110084572,64,0,1,0
csv,1000,42,30.70604195818305,4.553542006760836,1.142578125,32566.880529957187,64,0,1,1
csv,1000,42,28.824083972722292,4.37129195779562,1.142578125,34693.210058170494,64,0,1,2
csv,1000,42,35.220625111833215,4.37016598880291,1.142578125,28392.45461500983,64,0,1,3
csv,1000,42,28.50383403711021,4.375583026558161,1.142578125,35082.99966587171,64,0,1,4
signed_digest,1000,42,31.1850409489125,4.874916048720479,128.7587890625,32066.65662675272,266,0,1,0
signed_digest,1000,42,28.849000111222267,4.578958032652736,128.7587890625,34663.246426034704,266,0,1,1
signed_digest,1000,42,28.769541066139936,4.548541968688369,128.7587890625,34758.98338805763,266,0,1,2
signed_digest,1000,42,28.885917039588094,4.556667059659958,128.7587890625,34618.94592543148,266,0,1,3
signed_digest,1000,42,28.794917045161128,4.615250043570995,128.7587890625,34728.3514806321,266,0,1,4
hashchain,1000,42,32.61437499895692,6.305249873548746,112.2431640625,30661.3264866177,64,32,1,0
hashchain,1000,42,29.968082904815674,4.850874887779355,112.2431640625,33368.834542275865,64,32,1,1
hashchain,1000,42,29.80120899155736,4.827457945793867,112.2431640625,33555.68561944244,64,32,1,2
hashchain,1000,42,29.523625038564205,6.934833945706487,112.2431640625,33871.179392563914,64,32,1,3
hashchain,1000,42,33.261749893426895,5.461374996230006,112.2431640625,30064.563746768403,64,32,1,4
signed_hashchain,1000,42,31.531708082184196,5.232042167335749,240.0234375,31714.108141354143,265,32,1,0
signed_hashchain,1000,42,30.293000163510442,5.189291900023818,240.0078125,33010.92643852933,265,32,1,1
signed_hashchain,1000,42,37.5516670756042,5.194667028263211,239.984375,26629.976186853753,265,32,1,2
signed_hashchain,1000,42,30.773708131164312,5.149000091478229,239.96875,32495.271474525594,265,32,1,3
signed_hashchain,1000,42,30.139666981995106,5.135791841894388,239.953125,33178.866926346,265,32,1,4
merkle_signed,1000,42,66.80574989877641,6.342875072732568,239.8916015625,14968.771423345936,265,750,1,0
merkle_signed,1000,42,66.91945809870958,6.123790983110666,239.8916015625,14943.336787410164,265,750,1,1
merkle_signed,1000,42,71.58804195933044,6.2442501075565815,239.8916015625,13968.813402776199,265,750,1,2
merkle_signed,1000,42,68.57329211197793,6.6032500471919775,239.8916015625,14582.93701820576,265,750,1,3
merkle_signed,1000,42,107.10195894353092,14.468666166067123,239.8916015625,9336.897381375125,265,750,1,4
csv,10000,42,299.39704085700214,46.79704084992409,1.142578125,33400.4637165943,64,0,1,0
csv,10000,42,292.99520910717547,43.502209009602666,1.142578125,34130.250902300846,64,0,1,1
csv,10000,42,296.4398751500994,43.75062487088144,1.142578125,33733.65339240073,64,0,1,2
csv,10000,42,303.1664581503719,43.386708945035934,1.142578125,32985.17936651144,64,0,1,3
csv,10000,42,298.82187489420176,46.34779202751815,1.142578125,33464.7522158159,64,0,1,4
signed_digest,10000,42,290.3905410785228,43.38304093107581,128.7587890625,34436.38337137145,267,0,1,0
signed_digest,10000,42,286.83829098008573,43.4989589266479,128.7587890625,34862.848909855864,267,0,1,1
signed_digest,10000,42,290.4217909090221,43.483457993716,128.7587890625,34432.67796366083,267,0,1,2
signed_digest,10000,42,286.9710000231862,43.77716709859669,128.7587890625,34846.72666991451,267,0,1,3
signed_digest,10000,42,287.3509170021862,43.283750070258975,128.7587890625,34800.65455967875,267,0,1,4
hashchain,10000,42,301.4473340008408,51.478249952197075,1109.6171875,33173.290562165355,64,32,1,0
hashchain,10000,42,304.12637488916516,61.389916110783815,1109.6171875,32881.06795618883,64,32,1,1
hashchain,10000,42,362.17579105868936,64.83408412896097,1109.6171875,27610.901244306344,64,32,1,2
hashchain,10000,42,324.44266718812287,57.02325003221631,1109.6171875,30822.086646827065,64,32,1,3
hashchain,10000,42,351.3857498764992,59.1988330706954,1109.6171875,28458.75225023974,64,32,1,4
signed_hashchain,10000,42,742.9425420705229,332.20220799557865,1237.2578125,13459.991094507497,266,32,1,0
