method,num_events,trials,commit_time_ms_median,commit_time_ms_mean,verify_time_ms_median,verify_time_ms_mean,memory_peak_kb_median,throughput_eps_median,commitment_size_bytes,proof_size_bytes,clean_verified_all
csv,1000,5,30.70604195818305,30.991066992282867,4.375583026558161,5.2140082232654095,1.142578125,32566.880529957187,64,0,1
hashchain,1000,5,29.968082904815674,31.03380836546421,5.461374996230006,5.675958329811692,112.2431640625,33368.834542275865,64,32,1
merkle_signed,1000,5,68.57329211197793,76.19770020246506,6.342875072732568,7.956566475331783,239.8916015625,14582.93701820576,265,750,1
signed_digest,1000,5,28.849000111222267,29.296883242204785,4.578958032652736,4.634866630658507,128.7587890625,34663.246426034704,266,0,1
signed_hashchain,1000,5,30.773708131164312,32.05795008689165,5.189291900023818,5.180158605799079,239.984375,32495.271474525594,265,32,1
csv,10000,5,298.82187489420176,298.16409163177013,43.75062487088144,44.756875140592456,1.142578125,33464.7522158159,64,0,1
hashchain,10000,5,324.44266718812287,328.71558340266347,59.1988330706954,58.784866658970714,1109.6171875,30822.086646827065,64,32,1
merkle_signed,10000,5,672.4868330638856,765.5082666315138,59.2576670460403,60.05826657637954,1316.435546875,14870.17962037929,266,1050,1
signed_digest,10000,5,287.3509170021862,288.3945079986006,43.483457993716,43.485275004059076,128.7587890625,34800.65455967875,267,0,1
signed_hashchain,10000,5,412.8668748307973,774.72207499668,61.548458179458976,115.90359145775437,1237.2578125,24220.882346393708,266,32,1
csv,100000,5,2921.18883295916,2951.8844665959477,440.85224997252226,468.41777521185577,1.142578125,34232.63805191948,64,0,1
hashchain,100000,5,3352.839875034988,3240.300683211535,519.3448748905212,511.4421830046922,11037.1630859375,29825.462511524343,64,32,1
merkle_signed,100000,5,6997.62741709128,7459.992541605607,628.2026248518378,666.1095497664064,12843.052734375,14290.557933358394,267,1275,1
signed_digest,100000,5,3102.9930831864476,3097.2477082628757,494.2052091937512,488.05678342469037,128.7587890625,32226.94905182016,268,0,1
signed_hashchain,100000,5,3448.8879169803113,3412.974175158888,517.3507079016417,702.5295164436102,11164.8046875,28994.853531672736,267,32,1
