method,num_events,seed,commit_time_ms,verify_time_ms,memory_peak_kb,throughput_eps,commitment_size_bytes,proof_size_bytes,clean_verified,trial
csv,1000,42,30.29616712592542,4.636749858036637,1.2900390625,33007.475692998385,64,0,1,0
signed_digest,1000,42,32.33870794065297,5.487250164151192,128.7587890625,30922.694927551533,266,0,1,0
hashchain,1000,42,31.581582967191935,5.084665957838297,112.2431640625,31664.023967349432,64,32,1,0
signed_hashchain,1000,42,30.777791980654,5.218707956373692,240.09375,32490.95973579164,265,32,1,0
merkle_signed,1000,42,67.77399987913668,6.247084122151136,239.8916015625,14754.92079238836,265,750,1,0
csv,10000,42,287.47004200704396,48.30929194577038,1.142578125,34786.233480826384,64,0,1,0
signed_digest,10000,42,293.91395789571106,45.6327919382602,128.7587890625,34023.56278550161,267,0,1,0
hashchain,10000,42,314.2039158847183,50.974082900211215,1109.6171875,31826.46521715856,64,32,1,0
signed_hashchain,10000,42,308.5185829550028,51.14412494003773,1237.4375,32412.958416376794,266,32,1,0
merkle_signed,10000,42,684.5237910747528,66.99449988082051,1316.490234375,14608.696045902601,266,1050,1,0
