method,num_events,trials,commit_time_ms_median,commit_time_ms_mean,verify_time_ms_median,verify_time_ms_mean,memory_peak_kb_median,throughput_eps_median,commitment_size_bytes,proof_size_bytes,clean_verified_all
csv,1000,1,30.29616712592542,30.29616712592542,4.636749858036637,4.636749858036637,1.2900390625,33007.475692998385,64,0,1
hashchain,1000,1,31.581582967191935,31.581582967191935,5.084665957838297,5.084665957838297,112.2431640625,31664.023967349432,64,32,1
merkle_signed,1000,1,67.77399987913668,67.77399987913668,6.247084122151136,6.247084122151136,239.8916015625,14754.92079238836,265,750,1
signed_digest,1000,1,32.33870794065297,32.33870794065297,5.487250164151192,5.487250164151192,128.7587890625,30922.694927551533,266,0,1
signed_hashchain,1000,1,30.777791980654,30.777791980654,5.218707956373692,5.218707956373692,240.09375,32490.95973579164,265,32,1
csv,10000,1,287.47004200704396,287.47004200704396,48.30929194577038,48.30929194577038,1.142578125,34786.233480826384,64,0,1
hashchain,10000,1,314.2039158847183,314.2039158847183,50.974082900211215,50.974082900211215,1109.6171875,31826.46521715856,64,32,1
merkle_signed,10000,1,684.5237910747528,684.5237910747528,66.99449988082051,66.99449988082051,1316.490234375,14608.696045902601,266,1050,1
signed_digest,10000,1,293.91395789571106,293.91395789571106,45.6327919382602,45.6327919382602,128.7587890625,34023.56278550161,267,0,1
signed_hashchain,10000,1,308.5185829550028,308.5185829550028,51.14412494003773,51.14412494003773,1237.4375,32412.958416376794,266,32,1
